p_pv;p_vue;p_ue;p_ut;p_ut_tot;t_ext
0.1015275;0.266032258;0;4.08425;163.37;0.37
0.296565;0.239419355;0;0;0;3.78
0.47898;0.207516129;0;0;0;5.62
0.6812025;0.245709677;0;3.24125;129.65;6.57
0.4581075;0.207516129;0;3.2145;128.58;6.96
0.24861;0.232870968;0;3.1875;127.5;6.78
0.0811875;0.245967742;0;3.52;140.8;5.92
0;0.206387097;0;0;0;4.85
0;0.209935484;0;0;0;2.53
0;0.260225806;0;4.31125;172.45;-0.57
0;0.377774194;0;4.435;177.4;-2.3
0;0.451935484;0;4.5585;182.34;-2.59
0;0.41516129;0;4.62375;184.95;-2.65
0;0.259903226;0;4.689;187.56;-2.62
0;0.209322581;0;0;0;-2.83
0;0.149322581;0;0;0;-3.17
0;0.138612903;0;0;0;-3.23
0;0.133387097;0;0;0;-2.91
0;0.136354839;0;0;0;-2.82
0;0.137774194;0;0;0;-2.8
0;0.163322581;0;5.11825;204.73;-2.64
0;0.177;0;4.925;197;-2.17
0;0.230870968;0;4.73175;189.27;-3.59
0.0995775;0.268096774;0;4.53825;181.53;-2.29
0.255015;0.217032258;0;4.2865;171.46;-0.03
0.2490225;0.230548387;0;0;0;1.79
0.5750625;0.237516129;0;0;0;3.03
0.5374875;0.274645161;0;3.73825;149.53;3.69
0.6257025;0.290064516;0;3.6955;147.82;4.08
0.47859;0.263645161;0;3.6505;146.02;3.95
0.298155;0.271935484;0;3.981;159.24;3.29
0;0.229451613;0;0;0;2.05
0;0.265741935;0;0;0;1.26
0;0.290806452;0;4.761;190.44;0.67
0;0.354032258;0;4.87775;195.11;0.11
0;0.40583871;0;4.99475;199.79;-1.6
0;0.333;0;5.107;204.28;-1.87
0;0.299967742;0;5.22175;208.87;-1.87
0;0.18616129;0;0;0;-2.05
0;0.15883871;0;0;0;-2.47
0;0.144967742;0;0;0;-2.56
0;0.138870968;0;0;0;-2.7
0;0.127354839;0;0;0;-2.89
0;0.12316129;0;0;0;-3.12
0;0.144322581;0;5.3295;213.18;-3.05
0;0.186548387;0;5.143;205.72;-2.79
0;0.267129032;0;4.9565;198.26;-3.58
0.078375;0.272612903;0;4.76775;190.71;-2.72
0.084225;0.243516129;0;4.381;175.24;0.41
0.0533025;0.191806452;0;0;0;2.93
0.0492;0.217612903;0;0;0;4.49
0.286605;0.269;0;3.47975;139.19;5.23
0.6291825;0.257903226;0;3.3515;134.06;5.47
0.2000625;0.213;0;3.2235;128.94;5.26
0.2508375;0.204741935;0;3.4145;136.58;4.59
0;0.175677419;0;0;0;3.42
0;0.205387097;0;0;0;2.78
0;0.344451613;0;3.927;157.08;1.71
0;0.360064516;0;4.055;162.2;0.38
